Comment,ID,Kingdom,Phylum,Class,Order,Family,Genus,Genus.In.UK,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Single_ASV_in_Data_rbcL_dada2,d9d2f1dc7da0c8eb9d474e16da6387b6,Viridiplantae,Streptophyta,asterids,Aquifoliales,Aquifoliaceae,Ilex,Y,0.999999955652782,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Eudicots,Rosids,Malvales,Lavatera,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,db3a478698d59353f28a5984821c7961,Viridiplantae,Streptophyta,rosids,Rosales,Rhamnaceae,Ceanothus,Y,0.999857984922353,0,0,741,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Actinidiaceae,Actinidia,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Anthoxanthum,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,d78f00b811dacf16530633d818756a4f,Viridiplantae,Streptophyta,,Magnoliales,Magnoliaceae,Magnolia,Y,0.99807370613417,0,0,0,0,0,0,0,0,0,0,0,0,0,401
Multi_ASVs_Merged_rbcL_dada2,6a22640301ca339daeec2ef45130706c,Viridiplantae,Streptophyta,asterids,Solanales,Convolvulaceae,Calystegia,Y,0.999999987350167,0,0,627,0,0,179,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,b2489a4fab784486eb0e9193ba53d6c6,Viridiplantae,Streptophyta,Liliopsida,Asparagales,Iridaceae,Crocosmia,Y,0.862142358651927,0,0,383,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Simaroubaceae,Ailanthus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,50a4b1bd23fcbac3748778d493fd8679,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,Castanea,Y,0.999999997613613,0,128,0,0,0,0,0,0,0,0,0,0,85,177
Multi_ASVs_Merged_rbcL_dada2,60bb81acb1f479a4abe28e1dd6ce8e03,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,Jasminum,Y,0.994965513704374,0,0,410,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,11cdd1fa153c79c8fd3191899a8de7cf,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Gleditsia,Y,0.999432348120684,0,0,268,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,6a4de722834878cc552f5c8fc5343293,Viridiplantae,Streptophyta,asterids,Apiales,Araliaceae,Hedera,Y,0.999995206340037,0,0,0,0,0,0,0,0,0,0,0,0,0,188
Multi_ASVs_Merged_rbcL_dada2,3186dca4e7b59911a002b7a217b2f659,Viridiplantae,Streptophyta,rosids,Myrtales,Onagraceae,Oenothera,Y,0.970404815098804,0,0,204,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Adoxaceae,Sambucus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Onagraceae,Fuchsia,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,Symphoricarpos,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,eudicots,Asterales,Asteraceae,Leontodon,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Ranunculales,Berberidaceae,Berberis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Betulaceae,Betula,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Lamiaceae,Lavandula,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,Brassica,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Apiaceae,Daucus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,d6ecbda75d0bcfb34b3042f7f03b39b1,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,Fraxinus,Y,0.999987641614498,0,0,0,0,0,71,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,a4e61fb7d2644510abd45ca0d5b19a87,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Filipendula,Y,0.999817370903505,0,0,70,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,1eea37ddc836e77761c9866f2a9df0bc,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Triticum,Y,0.750128697865043,0,0,0,0,0,0,0,0,0,58,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Ranunculales,Ranunculaceae,Clematis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,c26ffac17f4658acf50cc9550c2db035,Viridiplantae,Streptophyta,asterids,Solanales,Solanaceae,Nicotiana,Y,0.925457006868289,0,0,0,0,0,0,0,0,0,33,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Plantaginaceae,Veronica,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Caryophyllales,Tamaricaceae,Tamarix,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,76f7291efb97acbadce71dc9585d09af,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,N,0.710460237825023,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,978b92ff167a81b6271bd4c50ed1155a,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cynara,Y,0.756749862280858,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,eudicots,Lamiales,Oleaceae,Ligustrum,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,eudicots,Malpighiales,Salicaceae,Populus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,eudicots,Fabales,Fabaceae,Phaseolus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,eudicots,Brassicales,Brassicaceae,Sinapis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caragana,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Melastomataceae,Bucquetia,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Crepis,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,Mancoa,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Austrostipa,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Scrophulariaceae,Manulea,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Bellis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Caryophyllales,Amaranthaceae,Kaviria,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Eupatorium,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Menyanthaceae,Nymphoides,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Lamiaceae,Premna,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Boraginales,Hydrophyllaceae,Phacelia,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Pentaphylacaceae,Adinandra,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Trigonopterum,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Melastomataceae,Monochaetum,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Lactuca,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Sinosenecio,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Cucurbitales,Cucurbitaceae,Cucumis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Acanthaceae,Aphelandra,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cicerbita,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Acanthaceae,Ptyssiglottis,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Lamiaceae,Mentha,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Acanthaceae,Streblacanthus,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Microgyne,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Piptanthus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Campanulaceae,Cyananthus,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Chlorophyta,Trebouxiophyceae,Microthamniales,,Trebouxia,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Burseraceae,Protium,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,Alyssum,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Potentilla,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,Erucaria,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Antinoria,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Saxifragales,Crassulaceae,Sedum,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Telanthophora,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Cornales,Cornaceae,Cornus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Limnanthaceae,Limnanthes,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Ranunculales,Ranunculaceae,Ranunculus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Passifloraceae,Passiflora,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Coulterella,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Crossosomatales,Stachyuraceae,Stachyurus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
