"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"40","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Ranunculales","Ranunculaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Solanales","Solanaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Plantaginaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Caryophyllales","Tamaricaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Zingiberales","Zingiberaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Multi_ASVs_Merged_ITS2p_dada2","3aab500d3b2a053a2a4115314f41608b","Viridiplantae","Streptophyta","rosids","Myrtales","Melastomataceae",0.8756414240441,260,3446,645,0,842,168,0,1093,247,0,276,0,552,309
"46","Multi_ASVs_Merged_ITS2p_dada2","b9a854d029143d3bab9fcb3e154d044a","Viridiplantae","Streptophyta","asterids","Lamiales","Acanthaceae",0.871829986865578,3311,938,709,0,391,12234,1149,0,567,0,0,108,1888,119
"47","Multi_ASVs_Merged_ITS2p_dada2","195643992784eb7861facbc663a67eae","Viridiplantae","Streptophyta","rosids","Fagales","Nothofagaceae",0.754104228634773,1851,147,332,0,543,798,0,29,475,86,0,0,129,0
"48","Multi_ASVs_Merged_ITS2p_dada2","19c7acd4dee9f1d3bca1db429df7963f","Viridiplantae","Streptophyta","asterids","Boraginales","Boraginaceae",0.968431326016269,2,0,246,83,84,0,5,0,146,0,0,0,118,17
"49","Multi_ASVs_Merged_ITS2p_dada2","40ddf2693abbdc412dc5a62f9cf400c6","Viridiplantae","Streptophyta","","Saxifragales","Crassulaceae",0.905005100033211,0,0,0,0,318,0,69,0,0,0,0,0,0,7
"50","Single_ASV_in_Data_ITS2p_dada2","c2fe5af5b73c3a8fa0207f131b3f0fe7","Viridiplantae","Streptophyta","","Caryophyllales","Amaranthaceae",0.759801647193511,0,0,0,151,0,0,0,0,0,0,0,0,0,0
"51","Single_ASV_in_Data_ITS2p_dada2","23483c5ee1321a63ada53ca482128450","Viridiplantae","Streptophyta","asterids","Asterales","Menyanthaceae",0.999999669164237,0,0,0,0,0,0,0,0,0,0,0,109,0,0
"52","Multi_ASVs_Merged_ITS2p_dada2","ae8bcfabdccd5d39ccd81fdfcfc69028","Viridiplantae","Streptophyta","asterids","Ericales","Pentaphylacaceae",0.790152780696602,13,0,0,0,0,0,0,0,0,0,0,0,0,140
"53","Single_ASV_in_Data_ITS2p_dada2","ab9366639934869e4222783a78027e0f","Viridiplantae","Streptophyta","rosids","Cucurbitales","Cucurbitaceae",0.99995991619725,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"54","Single_ASV_in_Data_ITS2p_dada2","eda4af4139e07b6226c7ee0fda5e5f93","Viridiplantae","Streptophyta","rosids","Sapindales","Anacardiaceae",0.920083087595713,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"55","Single_ASV_in_Data_ITS2p_dada2","a31d1ac8c49906f3456d476e382bd4d0","Viridiplantae","Streptophyta","asterids","Asterales","Campanulaceae",0.735414384522516,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"56","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Burseraceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Cornales","Cornaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Brassicales","Limnanthaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Malpighiales","Passifloraceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Crossosomatales","Stachyuraceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
