Comment,ID,Kingdom,Phylum,Class,Order,Family,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Solanales,Solanaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Plantaginaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Caryophyllales,Tamaricaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Zingiberaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Melastomataceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Acanthaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Nothofagaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Boraginales,Boraginaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Saxifragales,Crassulaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Caryophyllales,Amaranthaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Menyanthaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Pentaphylacaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Cucurbitales,Cucurbitaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Anacardiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Campanulaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Burseraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Cornales,Cornaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Limnanthaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Passifloraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Crossosomatales,Stachyuraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
